Date : 2023-07-31 22:55:12
Directory : /home/leveophan/MyProjects/SuperProject/GraphicEditor
Total : 54 files,  2336 codes, 742 comments, 911 blanks, all 3989 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/src/WidgetCreator/WidgetCreator.cpp         | C++      |         28 |          0 |          2 |         30 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/src/Widgets/ToolButton.cpp                  | C++      |        120 |          0 |         25 |        145 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/src/Widgets/ToolEditor.cpp                  | C++      |         64 |          0 |         15 |         79 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/src/Widgets/ToolHorizontalScrollBar.cpp     | C++      |         85 |          0 |         21 |        106 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/src/Widgets/ToolLabel.cpp                   | C++      |         49 |          0 |         11 |         60 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/HistoryManager/HistoryManager.hpp               | C++      |        120 |          0 |         31 |        151 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/HistoryManager/HistoryWindow.hpp                | C++      |          0 |        128 |         29 |        157 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/HistoryManager/NodeButton.hpp                   | C++      |         20 |          0 |          4 |         24 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Widgets/Canvas.hpp                              | C++      |         37 |          1 |         18 |         56 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Widgets/CanvasO.hpp                             | C++      |          0 |         45 |         27 |         72 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Widgets/HSVpalette.hpp                          | C++      |         45 |          0 |         14 |         59 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Widgets/Surface.hpp                             | C++      |         30 |          1 |         13 |         44 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Windows/ColorPicker.hpp                         | C++      |         38 |          0 |         15 |         53 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Windows/HSVwindow.hpp                           | C++      |         37 |          0 |         18 |         55 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Windows/OpenWindow.hpp                          | C++      |         25 |          0 |         14 |         39 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Windows/SaveWindow.hpp                          | C++      |         27 |          0 |         13 |         40 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Widgets/Canvas.cpp                                  | C++      |        186 |          2 |         59 |        247 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Widgets/CanvasO.cpp                                 | C++      |          0 |        187 |         68 |        255 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Widgets/HSVpalette.cpp                              | C++      |        148 |          0 |         33 |        181 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Windows/ColorPicker.cpp                             | C++      |        125 |          0 |         24 |        149 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Windows/HSVwindow.cpp                               | C++      |        132 |          0 |         27 |        159 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Windows/OpenWindow.cpp                              | C++      |         60 |          0 |         13 |         73 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Windows/SaveWindow.cpp                              | C++      |         59 |          0 |         14 |         73 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/GraphEditor/GraphEditor.hpp                                            | C++      |         17 |          0 |          9 |         26 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/GraphEditor/create_file_combobox.cpp                                   | C++      |         25 |          0 |         10 |         35 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/GraphEditor/create_windows.cpp                                         | C++      |         54 |          0 |         19 |         73 |
| /home/leveophan/MyProjects/SuperProject/GraphicEditor/src/main.cpp                                                               | C++      |         24 |          3 |         14 |         41 |
| Total                                                                                                                            |          |      2,336 |        742 |        911 |      3,989 |
+----------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
